code,yoy,mom
5469,3.6,3.41
6108,26.54,-15.61
6115,24.73,-1.4
6133,5.35,-7.7
6141,32.1,-7.17
6153,9.58,19.98
6155,43.29,2.17
6191,-2.48,2.85
6197,41.77,0.1
6205,-6.62,23.03
6213,29.3,8.23
6224,-5.5,-8.31
6269,-6.08,-15.15
6272,-18.56,-16.43
6282,26.19,-6.72
6412,-10.17,2.71
6449,12.27,-4.33
6715,-26.01,-27.67
6805,37.21,-12.76
6834,58.66,5.89
6835,-19.28,-19.35
7788,43.08,4.57
7795,24.51,-15.33
8039,0.6,-3.39
8046,35.82,-0.23
8103,22.36,-5.89
8213,13.48,-4.19
8249,-13.88,-35.19
2347,129.27,18.28
2414,73.47,38.2
2430,-4.25,2.12
3010,28.13,-0.07
3028,102.54,-6.71
3033,27.8,2.54
3036,152.69,-6.2
3048,61.74,5.9
3055,-75.03,-82.04
3209,32.09,-32.17
3312,18.3,-18.49
3528,66.83,-9.79
3702,82.9,8.39
5434,18.6,-3.45
6189,6.0,-5.42
6281,-8.6,6.06
6776,52.05,0.59
6908,-27.98,-13.41
8070,26.34,-3.7
8072,31.37,-0.96
8112,253.17,53.79
2427,-73.63,-35.22
2453,6.78,-11.38
2468,-25.38,6.85
2471,3.93,8.47
2480,16.38,-5.7
3029,27.4,-1.06
4994,-4.75,-9.78
5203,-14.78,-13.61
6112,13.84,2.01
6183,15.77,5.2
6214,45.79,6.27
2312,-8.09,1.92
2317,39.57,3.28
2354,-40.64,34.17
2359,66.8,47.19
2360,133.09,-6.49
2373,-4.06,-15.26
2390,20.74,22.38
2404,85.01,13.7
2423,28.06,6.77
2433,4.95,1.86
2459,28.03,4.72
2461,9.98,-8.94
2464,30.83,7.24
2474,-48.3,-4.25
2477,-35.74,-34.63
2482,-38.57,-27.99
2488,26.47,-6.72
3018,-38.48,-64.22
3030,14.74,-3.71
3043,3.74,-27.78
3305,71.36,-7.93
3518,-32.28,2.54
3617,21.49,5.61
4585,27.05,9.53
4588,33.36,743.45
6139,103.26,0.61
6192,-14.97,-40.02
6196,64.89,5.18
6201,-14.21,11.13
6215,37.9,-12.59
6283,9.29,-26.37
6409,0.27,4.85
6438,10.13,-7.2
6558,-17.29,-24.72
6658,-2.79,24.41
6691,82.35,34.16
6698,-35.11,23.74
6722,-9.08,-4.12
6743,-19.85,-29.35
6830,19.42,2.51
7631,140.81,31.25
8021,86.29,18.18
8201,20.54,1.4
2616,24.27,7.34
6505,26.87,-6.08
8926,768.16,7.26
9908,-2.26,2.35
9918,11.21,-1.9
9926,0.35,-0.15
9931,13.16,-8.69
9937,18.88,6.48
1316,152.96,5.33
1436,44.62,106.27
1438,,-90.68
1439,-38.27,110.97
1442,-18.68,167.97
1453,0.8,-0.79
1456,-69.04,-55.26
1472,35.04,15.28
1805,0.87,0.87
1808,87447.7,-21.89
2442,-20.95,-20.56
2501,-1.73,-15.33
2504,-6.11,5.96
2505,-24.51,5908.12
2506,131.02,-4.41
2509,-0.65,2.72
2511,1.98,2.51
2515,57.09,5.01
2516,-1.73,58.48
2520,52.32,-10.7
2524,-0.64,102.91
2527,-10.41,-17.12
2528,506.23,4721.9
2530,-99.4,2352.87
2534,-84.75,258.43
2535,1.49,3.86
2536,367.43,9513.19
2537,128.48,145.91
2538,21.66,-8.23
2539,418.92,42.97
2540,-71.34,0.79
2542,2114.2,-34.17
2543,86.14,15.57
2545,-86.37,-75.68
2546,25.43,12.1
2547,69.9,112.92
2548,9203.55,-67.05
2597,20.33,7.1
3052,-40.7,-37.37
3056,2.37,0.66
3266,18.87,3.07
3703,3.16,23.24
5515,22.37,5.71
5519,88.65,47.1
5521,27.75,22.56
5522,191.64,182.23
5525,406.8,-47.24
5531,55.16,73.11
5533,144.78,40.97
